Mortality,Newborn,CO2,GDPpp,Income,LifeExp,Population,country
0.657011362,-0.027919213,1.195612224,-0.418356189,-0.291999544,-0.285791715,-0.23575435,Turkmenistan
1.086196497,2.12748202,-0.725543119,-0.660884972,-0.790943689,-1.560836841,-0.025760238,Uganda
-0.694229579,-0.993430176,0.262140518,-0.521877948,-0.444237465,0.035948643,0.047909597,Ukraine
-0.774528734,-0.741853376,2.318344517,1.280618553,2.168832602,0.679429361,-0.211197738,United Arab Emirates
-0.865903633,-0.707856511,0.38082936,1.474375854,1.027048195,1.156081744,0.175603978,United Kingdom
-0.804987034,-0.701057138,1.981524829,2.005824454,1.720460643,0.953504482,1.910002385,United States
-0.721918943,-0.59226717,-0.377816889,-0.003715563,0.057313494,0.667513051,-0.248243141,Uruguay
-0.06291209,-0.347489743,-0.117984559,-0.615435045,-0.64287667,-0.214293858,-0.067857287,Uzbekistan
-0.193052099,0.359645047,-0.65753762,-0.533503386,-0.723687895,-0.905439814,-0.270330059,Vanuatu
-0.530862334,-0.333890997,0.217231226,0.073787358,0.010390847,0.548349956,-0.065050817,Venezuela
-0.364726153,-0.667060273,-0.472447182,-0.619310191,-0.629842601,0.298107454,0.355218052,Vietnam
0.532409226,1.100776701,-0.615034184,-0.634257183,-0.677286611,-0.369205882,-0.101534926,Yemen
1.208029697,1.62432842,-0.712070332,-0.612667083,-0.700747934,-2.097070772,-0.171696674,Zambia
1.316018215,0.740409933,-0.638451171,-0.650643514,-0.789379601,-2.251982797,-0.170995057,Zimbabwe
